Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status,Male,employed_Yes,married_Yes
0,0,5849,0.0,128,1.0,0,1,True,False,False
1,0,4583,1508.0,128,1.0,2,0,True,False,True
0,0,3000,0.0,66,1.0,0,1,True,True,True
0,1,2583,2358.0,120,1.0,0,1,True,False,True
0,0,6000,0.0,141,1.0,0,1,True,False,False
2,0,5417,4196.0,267,1.0,0,1,True,True,True
0,1,2333,1516.0,95,1.0,0,1,True,False,True
3,0,3036,2504.0,158,0.0,1,0,True,False,True
2,0,4006,1526.0,168,1.0,0,1,True,False,True
1,0,12841,10968.0,349,1.0,1,0,True,False,True
2,0,3200,700.0,70,1.0,0,1,True,False,True
2,0,2500,1840.0,109,1.0,0,1,True,False,True
2,0,3073,8106.0,200,1.0,0,1,True,False,True
0,0,1853,2840.0,114,1.0,2,0,True,False,False
2,0,1299,1086.0,17,1.0,0,1,True,False,True
0,0,4950,0.0,125,1.0,0,1,True,False,False
1,1,3596,0.0,100,1.0,0,1,True,False,False
0,0,3510,0.0,76,0.0,0,0,False,False,False
0,1,4887,0.0,133,1.0,2,0,True,False,True
0,0,2600,3500.0,115,1.0,0,1,True,False,True
0,1,7660,0.0,104,0.0,0,0,True,False,True
1,0,5955,5625.0,315,1.0,0,1,True,False,True
0,1,2600,1911.0,116,0.0,1,0,True,False,True
2,1,3365,1917.0,112,0.0,2,0,True,False,True
1,0,3717,2925.0,151,1.0,1,0,True,False,True
0,0,9560,0.0,191,1.0,1,1,True,True,True
0,0,2799,2253.0,122,1.0,1,1,True,False,True
2,1,4226,1040.0,110,1.0,0,1,True,False,True
0,1,1442,0.0,35,1.0,0,0,True,False,False
2,0,3750,2083.0,120,1.0,1,1,False,False,False
1,0,4166,3369.0,201,1.0,0,0,True,False,True
0,0,3167,0.0,74,1.0,0,0,True,False,False
1,0,4692,0.0,106,1.0,2,0,True,True,False
0,0,3500,1667.0,114,1.0,1,1,True,False,True
3,0,12500,3000.0,320,1.0,2,0,True,False,False
0,0,2275,2067.0,128,1.0,0,1,True,False,True
0,0,1828,1330.0,100,0.0,0,0,True,False,True
0,0,3667,1459.0,144,1.0,1,1,False,False,True
0,0,4166,7210.0,184,1.0,0,1,True,False,False
0,1,3748,1668.0,110,1.0,1,1,True,False,False
0,0,3600,0.0,80,1.0,0,0,True,False,False
0,0,1800,1213.0,47,1.0,0,1,True,False,False
0,0,2400,0.0,75,1.0,0,1,True,False,True
0,0,3941,2336.0,134,1.0,1,1,True,False,True
0,1,4695,0.0,96,1.0,0,1,True,True,True
0,0,3410,0.0,88,1.0,0,1,False,False,False
1,0,5649,0.0,44,1.0,0,1,True,False,True
0,0,5821,0.0,144,1.0,0,1,True,False,True
0,0,2645,3440.0,120,0.0,0,0,False,False,True
0,0,4000,2275.0,144,1.0,1,1,False,False,False
0,1,1928,1644.0,100,1.0,1,1,False,False,True
0,0,3086,0.0,120,1.0,1,1,False,False,False
0,0,4230,0.0,112,1.0,1,0,False,False,False
2,0,4616,0.0,134,1.0,0,0,True,False,True
1,0,11500,0.0,286,0.0,0,0,False,True,True
2,0,2708,1167.0,97,1.0,1,1,True,False,True
0,0,2132,1591.0,96,1.0,1,1,True,False,True
0,0,3366,2200.0,135,1.0,2,0,True,False,True
1,0,8080,2250.0,180,1.0,0,1,True,False,True
2,1,3357,2859.0,144,1.0,0,1,True,False,True
0,0,2500,3796.0,120,1.0,0,1,True,False,True
3,0,3029,0.0,99,1.0,0,1,True,False,True
0,1,2609,3449.0,165,0.0,2,0,True,True,True
1,0,4945,0.0,128,0.0,2,0,True,False,True
0,0,4166,0.0,116,0.0,1,0,False,False,False
0,0,5726,4595.0,258,1.0,1,0,True,False,True
0,1,3200,2254.0,126,0.0,0,0,True,False,False
1,0,10750,0.0,312,1.0,0,1,True,False,True
3,1,7100,0.0,125,1.0,0,1,True,True,True
0,0,4300,0.0,136,0.0,1,0,False,False,False
0,0,3208,3066.0,172,1.0,0,1,True,False,True
2,1,1875,1875.0,97,1.0,1,1,True,True,True
0,0,3500,0.0,81,1.0,1,1,True,False,False
3,1,4755,0.0,95,0.0,1,0,True,False,True
3,0,5266,1774.0,187,1.0,1,1,True,True,True
0,0,3750,0.0,113,1.0,0,0,True,False,False
0,0,3750,4750.0,176,1.0,0,0,True,False,False
1,0,1000,3022.0,110,1.0,0,0,True,True,True
3,0,3167,4000.0,180,0.0,1,0,True,False,True
3,1,3333,2166.0,130,1.0,1,1,True,True,True
0,0,3846,0.0,111,1.0,1,1,False,False,False
1,0,2395,0.0,128,1.0,1,1,True,True,True
2,0,1378,1881.0,167,1.0,0,0,False,False,True
0,0,6000,2250.0,265,1.0,1,0,True,False,True
1,0,3988,0.0,50,1.0,0,1,True,False,True
0,0,2366,2531.0,136,1.0,1,1,True,False,False
2,1,3333,2000.0,99,1.0,1,1,True,False,True
0,0,2500,2118.0,104,1.0,1,1,True,False,True
0,0,8566,0.0,210,1.0,0,1,True,False,False
0,0,5695,4167.0,175,1.0,1,1,True,False,True
0,0,2958,2900.0,131,1.0,1,1,True,False,True
2,0,6250,5654.0,188,1.0,1,1,True,False,True
2,1,3273,1820.0,81,1.0,0,1,True,False,True
0,0,4133,0.0,122,1.0,1,1,True,False,False
0,1,3620,0.0,25,1.0,1,1,True,False,False
0,0,6782,0.0,128,1.0,0,0,True,False,False
0,0,2484,2302.0,137,1.0,1,1,False,False,True
0,0,1977,997.0,50,1.0,1,1,True,False,True
0,1,4188,0.0,115,1.0,1,1,True,False,True
